CSI_DATA,-46,128,0,0,0,0,0,0,0,0,-16,-11,-16,-13,-15,-15,-15,-17,-14,-18,-14,-21,-13,-20,-12,-21,-11,-22,-11,-22,-10,-23,-10,-23,-9,-24,-9,-24,-9,-24,-10,-24,-10,-25,-9,-25,-10,-26,-10,-25,-12,-27,-11,-27,-12,-26,-12,-27,-11,-27,-11,-28,-12,-28,-11,-28,0,0,-12,-27,-12,-27,-12,-27,-11,-26,-12,-26,-14,-25,-13,-24,-14,-23,-13,-23,-14,-22,-14,-22,-16,-21,-16,-21,-18,-21,-17,-19,-18,-20,-19,-19,-19,-19,-20,-19,-20,-19,-21,-19,-21,-20,-21,-20,-21,-21,-20,-20,-20,-21,-18,-21,-18,-22,0,0,0,0,0,0,0.026
CSI_DATA,-46,128,0,0,0,0,0,0,0,0,9,15,9,17,8,18,7,19,7,20,6,21,6,22,6,21,5,22,5,22,5,23,6,23,5,22,6,23,6,23,7,24,8,24,8,24,8,24,8,24,10,25,10,24,11,24,12,25,12,25,13,25,14,24,14,24,0,0,15,25,15,23,15,22,15,22,17,21,17,21,18,19,18,18,18,17,20,16,20,15,21,13,21,13,22,13,22,11,23,10,24,9,24,8,25,8,26,7,26,7,27,7,27,6,27,6,27,6,27,6,27,6,27,7,0,0,0,0,0,0,0.043
CSI_DATA,-46,128,0,0,0,0,0,0,0,0,15,9,15,11,15,12,15,13,15,15,15,15,15,16,14,16,14,17,14,17,14,18,14,18,14,18,14,18,15,18,15,18,16,18,16,18,16,18,17,18,18,18,19,18,20,18,21,18,21,18,21,18,21,18,22,17,0,0,23,17,22,17,22,15,22,15,22,14,23,13,23,11,23,11,23,10,23,9,23,7,24,7,24,6,25,5,25,4,25,3,26,2,25,1,26,0,27,0,27,-1,28,-1,28,-1,28,-1,28,-1,28,-1,28,-1,27,0,0,0,0,0,0,0,0.064
CSI_DATA,-45,128,0,0,0,0,0,0,0,0,5,17,4,18,2,19,1,20,1,21,0,21,-1,21,-3,21,-4,22,-4,22,-5,23,-4,23,-5,23,-5,24,-4,24,-4,24,-4,24,-4,25,-4,25,-4,26,-3,26,-4,27,-3,27,-3,27,-3,29,-2,29,-2,28,-2,28,0,0,-2,29,-1,28,-1,28,-1,28,0,28,1,27,1,27,1,26,2,25,4,26,4,26,6,25,7,25,7,25,8,25,9,25,11,25,10,25,11,25,11,25,12,26,12,26,13,27,13,27,12,27,11,26,11,27,11,27,0,0,0,0,0,0,0.084
CSI_DATA,-45,128,0,0,0,0,0,0,0,0,-15,-9,-14,-10,-14,-12,-14,-13,-15,-14,-14,-15,-13,-16,-12,-17,-12,-18,-11,-18,-11,-18,-11,-20,-11,-19,-11,-20,-11,-20,-12,-20,-12,-21,-12,-20,-13,-21,-13,-21,-13,-22,-14,-22,-14,-22,-15,-23,-13,-23,-14,-23,-14,-24,-14,-23,0,0,-14,-23,-15,-24,-15,-23,-14,-22,-15,-22,-16,-22,-16,-21,-15,-21,-16,-19,-16,-19,-17,-18,-17,-18,-18,-17,-19,-17,-19,-17,-20,-16,-21,-16,-21,-16,-22,-16,-22,-16,-23,-16,-22,-16,-23,-17,-23,-17,-22,-17,-21,-17,-22,-18,-21,-19,0,0,0,0,0,0,0.105
CSI_DATA,-45,128,0,0,0,0,0,0,0,0,10,-12,12,-12,14,-13,15,-13,15,-11,16,-11,17,-10,18,-10,18,-11,19,-10,20,-10,20,-8,21,-9,21,-9,21,-8,21,-9,22,-10,21,-11,23,-11,22,-11,22,-10,22,-12,22,-12,23,-13,24,-13,24,-11,25,-11,24,-13,0,0,23,-14,23,-12,24,-13,23,-13,23,-13,22,-14,21,-14,21,-14,20,-16,20,-16,19,-16,19,-15,18,-16,18,-18,17,-19,17,-20,16,-20,16,-21,15,-22,16,-22,16,-23,16,-22,17,-22,18,-21,19,-22,18,-22,17,-22,19,-21,0,0,0,0,0,0,0.127
CSI_DATA,-45,128,0,0,0,0,0,0,0,0,-16,-5,-16,-6,-17,-7,-17,-9,-17,-10,-18,-11,-17,-11,-18,-12,-17,-12,-17,-13,-18,-13,-18,-14,-17,-13,-19,-13,-19,-13,-19,-13,-20,-14,-20,-13,-21,-13,-21,-12,-22,-13,-23,-13,-23,-13,-24,-13,-24,-12,-24,-12,-25,-12,-25,-11,0,0,-26,-10,-26,-10,-26,-10,-25,-9,-25,-8,-25,-7,-25,-6,-25,-5,-25,-4,-25,-2,-25,-1,-25,0,-26,1,-26,2,-25,3,-26,4,-26,5,-25,6,-26,7,-26,7,-27,8,-27,8,-27,8,-27,8,-28,9,-28,8,-26,8,-27,7,0,0,0,0,0,0,0.145
CSI_DATA,-45,128,0,0,0,0,0,0,0,0,9,-13,11,-13,12,-13,14,-13,15,-12,17,-11,17,-10,19,-10,18,-10,20,-10,20,-9,20,-8,21,-8,21,-8,21,-8,21,-7,23,-8,22,-8,23,-8,23,-8,24,-8,24,-8,24,-9,25,-8,25,-8,26,-8,26,-8,26,-8,0,0,27,-8,26,-7,26,-7,25,-8,26,-7,24,-8,24,-8,24,-8,23,-9,23,-9,23,-10,22,-10,22,-10,22,-12,22,-12,23,-13,22,-13,23,-14,22,-14,23,-14,23,-15,24,-14,24,-14,24,-13,25,-13,25,-13,25,-11,26,-11,0,0,0,0,0,0,0.167
CSI_DATA,-42,128,0,0,0,0,0,0,0,0,-11,6,-12,5,-14,6,-14,5,-15,4,-16,3,-17,2,-17,3,-17,2,-17,1,-18,1,-18,1,-18,1,-18,1,-18,1,-18,1,-19,1,-19,2,-20,2,-20,2,-20,2,-20,2,-21,2,-22,2,-22,3,-22,3,-22,3,-21,4,0,0,-22,4,-22,4,-21,4,-21,5,-20,4,-21,5,-20,6,-19,6,-19,7,-19,8,-18,9,-18,8,-18,10,-17,10,-17,11,-17,12,-17,12,-17,13,-17,13,-17,14,-17,14,-17,14,-17,14,-18,14,-18,14,-18,14,-18,13,-18,13,0,0,0,0,0,0,0.184
CSI_DATA,-42,128,0,0,0,0,0,0,0,0,-3,13,-4,13,-6,13,-7,14,-8,13,-9,13,-10,13,-11,13,-11,13,-12,13,-12,13,-13,12,-13,12,-14,13,-14,12,-14,12,-14,12,-14,13,-15,14,-15,13,-15,14,-15,14,-15,14,-15,15,-16,15,-17,14,-17,14,-17,15,0,0,-17,16,-17,14,-16,14,-16,15,-16,14,-15,15,-15,15,-14,15,-14,15,-13,15,-14,16,-12,15,-12,16,-12,16,-11,17,-12,18,-11,18,-11,18,-11,19,-10,19,-11,19,-11,19,-11,20,-12,19,-13,18,-13,18,-13,18,-14,17,0,0,0,0,0,0,0.204
