CSI_DATA,-35,128,0,0,0,0,0,0,0,0,15,-7,16,-6,17,-6,18,-5,19,-4,19,-4,20,-3,20,-3,20,-3,21,-2,22,-2,22,-2,22,-2,23,-3,23,-3,23,-3,23,-3,24,-4,25,-3,25,-3,25,-4,26,-5,26,-4,27,-5,27,-5,27,-6,27,-7,27,-5,0,0,27,-7,28,-7,27,-6,26,-7,25,-7,25,-9,24,-9,25,-10,23,-11,23,-12,23,-13,22,-13,22,-14,22,-15,22,-15,22,-16,22,-17,21,-18,22,-18,22,-18,22,-20,23,-19,24,-20,23,-18,24,-18,24,-18,25,-17,25,-16,0,0,0,0,0,0
CSI_DATA,-35,128,0,0,0,0,0,0,0,0,7,14,5,16,4,18,4,19,2,19,1,20,0,19,-1,22,-2,21,-4,22,-3,22,-5,21,-6,22,-6,22,-7,22,-7,22,-8,23,-8,22,-9,24,-9,23,-11,24,-10,23,-11,24,-12,23,-12,24,-13,24,-14,24,-14,24,0,0,-14,24,-15,22,-16,23,-15,22,-17,22,-15,21,-15,21,-16,21,-14,22,-14,22,-15,22,-15,21,-14,22,-15,23,-14,22,-15,24,-15,22,-17,24,-17,23,-18,23,-19,23,-19,22,-20,21,-21,21,-22,20,-24,19,-23,17,-25,17,0,0,0,0,0,0
CSI_DATA,-35,128,0,0,0,0,0,0,0,0,-16,6,-17,5,-17,4,-18,4,-19,3,-20,3,-20,2,-21,1,-21,1,-21,1,-21,1,-22,0,-22,0,-22,1,-23,0,-23,0,-23,0,-24,2,-24,1,-25,1,-26,1,-26,2,-26,2,-26,2,-27,2,-27,2,-27,2,-28,2,0,0,-28,4,-28,3,-27,3,-26,4,-26,4,-26,6,-26,5,-25,6,-24,8,-25,9,-25,9,-24,9,-24,10,-24,11,-24,12,-25,13,-25,13,-24,14,-25,15,-25,15,-25,15,-25,14,-26,14,-27,14,-26,14,-27,13,-27,12,-28,11,0,0,0,0,0,0
CSI_DATA,-35,128,0,0,0,0,0,0,0,0,-3,17,-5,17,-6,17,-7,17,-9,18,-10,17,-11,17,-12,16,-13,16,-14,16,-15,15,-17,16,-16,16,-17,15,-18,15,-18,15,-19,14,-19,15,-19,15,-20,14,-21,14,-21,14,-23,14,-23,14,-24,14,-24,14,-25,13,-24,13,0,0,-26,12,-26,11,-26,11,-25,11,-25,10,-25,11,-24,9,-25,10,-23,9,-24,10,-24,11,-24,10,-24,11,-24,11,-24,11,-24,11,-25,12,-25,11,-26,11,-27,11,-28,10,-28,8,-30,8,-29,7,-30,5,-29,4,-30,2,-30,1,0,0,0,0,0,0
CSI_DATA,-35,128,0,0,0,0,0,0,0,0,-13,-9,-13,-10,-13,-12,-13,-13,-12,-13,-13,-14,-13,-15,-11,-15,-12,-16,-12,-17,-12,-17,-11,-18,-12,-18,-12,-19,-12,-18,-13,-19,-13,-19,-14,-18,-14,-20,-14,-20,-15,-20,-15,-20,-16,-20,-16,-21,-16,-21,-17,-20,-17,-21,-16,-21,0,0,-18,-20,-18,-20,-18,-20,-18,-19,-18,-19,-18,-18,-18,-18,-18,-17,-19,-17,-20,-16,-21,-14,-21,-15,-21,-13,-23,-13,-22,-13,-23,-13,-24,-12,-24,-12,-25,-12,-25,-12,-25,-13,-26,-13,-26,-13,-26,-13,-25,-14,-25,-14,-24,-15,-24,-16,0,0,0,0,0,0
CSI_DATA,-35,128,0,0,0,0,0,0,0,0,-4,-15,-3,-16,-3,-17,-1,-17,0,-18,1,-18,2,-19,2,-19,4,-21,4,-20,5,-21,5,-21,5,-22,5,-22,6,-21,6,-20,7,-21,7,-22,7,-22,8,-23,7,-23,8,-23,8,-24,9,-24,8,-25,9,-25,8,-25,9,-25,0,0,10,-24,11,-25,10,-24,10,-24,9,-24,9,-24,9,-23,8,-23,8,-22,7,-24,6,-24,6,-24,5,-24,6,-25,6,-25,6,-25,6,-26,5,-27,6,-27,7,-28,7,-28,8,-27,8,-28,9,-28,10,-27,10,-26,12,-26,13,-25,0,0,0,0,0,0
CSI_DATA,-35,128,0,0,0,0,0,0,0,0,-12,12,-13,12,-14,11,-15,10,-17,9,-17,8,-19,7,-19,7,-21,5,-21,5,-21,4,-22,4,-21,4,-22,4,-23,3,-23,3,-24,2,-24,2,-24,1,-25,0,-25,1,-26,0,-26,-1,-27,-2,-27,-1,-27,-1,-27,-1,-28,-1,0,0,-28,-4,-27,-3,-27,-4,-26,-4,-27,-4,-26,-4,-26,-4,-25,-4,-26,-4,-27,-2,-26,-2,-26,-2,-26,-1,-26,-3,-27,-2,-27,-2,-28,-3,-28,-2,-29,-4,-29,-4,-28,-5,-29,-6,-29,-6,-30,-7,-29,-8,-28,-10,-28,-12,-27,-13,0,0,0,0,0,0
CSI_DATA,-35,128,0,0,0,0,0,0,0,0,-16,5,-17,5,-17,5,-18,3,-20,2,-20,2,-21,1,-20,1,-21,0,-22,-1,-22,-1,-22,-1,-22,0,-22,1,-23,0,-23,1,-24,0,-24,1,-24,0,-25,1,-25,1,-26,0,-26,0,-27,0,-27,1,-27,3,-27,3,-27,2,0,0,-27,3,-29,4,-26,3,-27,5,-26,4,-26,4,-26,5,-26,5,-24,6,-24,7,-24,10,-25,9,-24,11,-24,11,-24,12,-23,13,-25,14,-24,14,-25,14,-26,14,-26,14,-26,14,-27,15,-26,15,-26,15,-27,13,-28,12,-27,12,0,0,0,0,0,0
CSI_DATA,-35,128,0,0,0,0,0,0,0,0,16,4,17,6,16,7,16,8,17,8,17,9,18,11,18,11,17,12,17,13,18,13,18,13,19,12,19,12,19,13,20,12,20,13,20,12,20,13,21,14,22,13,23,13,23,13,23,13,24,13,25,12,26,12,26,11,0,0,25,13,26,11,25,11,26,11,26,10,25,9,25,9,25,8,25,7,26,6,26,4,26,3,26,2,26,2,26,1,27,0,28,0,28,-1,28,0,29,-1,29,0,30,0,30,-1,30,-1,30,-1,29,1,30,2,30,2,0,0,0,0,0,0
CSI_DATA,-35,128,0,0,0,0,0,0,0,0,16,-2,17,-1,18,2,18,2,19,4,20,5,19,6,19,7,19,8,20,9,20,10,20,11,20,12,19,12,19,12,19,13,19,14,20,14,19,15,19,16,20,16,20,16,21,17,21,17,21,18,20,19,20,19,20,19,0,0,19,20,19,20,18,21,18,20,17,20,18,19,18,19,18,19,18,19,19,19,19,19,18,19,18,18,19,19,19,19,19,20,19,20,19,20,20,21,20,21,20,22,19,23,19,24,17,25,16,26,14,26,13,26,12,27,0,0,0,0,0,0
